,Song_Name,Song_String,Lyrics_List
0,edited_Alter_Ego,"said the voice from afar
dont you know it doesnt have to be so hard
waiting for everyone else around to agree
might take too long
might take too long


that you are all youre meant to be
when the one from my dream
is sitting right next to me
and i dont know what to do
oh alter ego

get them to love you while they may
depending on your words and wealth
the only one whos really judging you is yourself
nobody else
nobody else

if i could part

that you are all youre meant to be
when the one from my dream
is sitting right next to me
and i dont know what to do
oh alter ego","['said', 'the', 'voice', 'from', 'afar', 'dont', 'you', 'know', 'it', 'doesnt', 'have', 'to', 'be', 'so', 'hard', 'waiting', 'for', 'everyone', 'else', 'around', 'to', 'agree', 'might', 'take', 'too', 'long', 'might', 'take', 'too', 'long', 'that', 'you', 'are', 'all', 'youre', 'meant', 'to', 'be', 'when', 'the', 'one', 'from', 'my', 'dream', 'is', 'sitting', 'right', 'next', 'to', 'me', 'and', 'i', 'dont', 'know', 'what', 'to', 'do', 'oh', 'alter', 'ego', 'get', 'them', 'to', 'love', 'you', 'while', 'they', 'may', 'depending', 'on', 'your', 'words', 'and', 'wealth', 'the', 'only', 'one', 'whos', 'really', 'judging', 'you', 'is', 'yourself', 'nobody', 'else', 'nobody', 'else', 'if', 'i', 'could', 'part', 'that', 'you', 'are', 'all', 'youre', 'meant', 'to', 'be', 'when', 'the', 'one', 'from', 'my', 'dream', 'is', 'sitting', 'right', 'next', 'to', 'me', 'and', 'i', 'dont', 'know', 'what', 'to', 'do', 'oh', 'alter', 'ego']"
1,edited_Bonnie_&_Clyde,,[]
2,edited_Innerspeaker_[Tracklist_+_Album_Cover],"tracklist
 it is not meant to be

 desire be desire go

 alter ego

 lucidity

 why wont you make up your mind

 solitude is bliss

 island walking itunes bonus track

 jeremys storm

 expectation

 the bold arrow of time

 runway houses city clouds

 i dont really mind

cover art","['tracklist', 'it', 'is', 'not', 'meant', 'to', 'be', 'desire', 'be', 'desire', 'go', 'alter', 'ego', 'lucidity', 'why', 'wont', 'you', 'make', 'up', 'your', 'mind', 'solitude', 'is', 'bliss', 'island', 'walking', 'itunes', 'bonus', 'track', 'jeremys', 'storm', 'expectation', 'the', 'bold', 'arrow', 'of', 'time', 'runway', 'houses', 'city', 'clouds', 'i', 'dont', 'really', 'mind', 'cover', 'art']"
3,edited_Half_Full_Glass_of_Wine_(Canyons_Drunken_Rage_Remix),"you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge

said you wouldnt be home late tonight
i gave up waiting at seventeen past midnight
now my only companys a half full glass of wine

thank god ive been blessed with a patient mind
because what i want to happen wont happen in a very long time
now my only companys a half full glass of wine

you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge
you leave me no choice but to plot my revenge","['you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'said', 'you', 'wouldnt', 'be', 'home', 'late', 'tonight', 'i', 'gave', 'up', 'waiting', 'at', 'seventeen', 'past', 'midnight', 'now', 'my', 'only', 'companys', 'a', 'half', 'full', 'glass', 'of', 'wine', 'thank', 'god', 'ive', 'been', 'blessed', 'with', 'a', 'patient', 'mind', 'because', 'what', 'i', 'want', 'to', 'happen', 'wont', 'happen', 'in', 'a', 'very', 'long', 'time', 'now', 'my', 'only', 'companys', 'a', 'half', 'full', 'glass', 'of', 'wine', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge', 'you', 'leave', 'me', 'no', 'choice', 'but', 'to', 'plot', 'my', 'revenge']"
4,edited_Breathe_Deeper,"if you think i couldnt hold my own believe me i can
believe me i canbelieveme i can
ifit aint so awful and wereall together i can
believe me i can believe me i can
if you think i couldnt roll with you believe me i can
believe me i can believe me i can
if ideally we should feel like this forever i can
believe me i can believe me i can

and she said seems youre coming on
breathe a little deeper
should you need to come undone
and let those colours run
and she said now youre having fun
so do this and get through this
and come find me when youre done
so we can be as one

if you think i couldnt hold my own believe me i can
believe me i can believe me i can
if you need someone to tell you that youre special i can
believe me i can believe me i can
if you need someone to carry on believe me i can
believe me i can believe me i can
if you think no one is feeling what youre feeling i am
believe me i am believe me i am
and the groove is low

and she said seems youre coming on
breathe a little deeper
should you need to come undone
and let those colours run
now youre having fun
so do this and get through this and the groove is low
and come find me when youre done
so we can be as one


seems youre coming on
breathe a little deeper
should you need to come undone telamona
and let those colours run
now youre having fun telamona
do this and get through this
and until we see the sun and the groove is low
youre my number one","['if', 'you', 'think', 'i', 'couldnt', 'hold', 'my', 'own', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'canbelieveme', 'i', 'can', 'ifit', 'aint', 'so', 'awful', 'and', 'wereall', 'together', 'i', 'can', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'if', 'you', 'think', 'i', 'couldnt', 'roll', 'with', 'you', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'if', 'ideally', 'we', 'should', 'feel', 'like', 'this', 'forever', 'i', 'can', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'and', 'she', 'said', 'seems', 'youre', 'coming', 'on', 'breathe', 'a', 'little', 'deeper', 'should', 'you', 'need', 'to', 'come', 'undone', 'and', 'let', 'those', 'colours', 'run', 'and', 'she', 'said', 'now', 'youre', 'having', 'fun', 'so', 'do', 'this', 'and', 'get', 'through', 'this', 'and', 'come', 'find', 'me', 'when', 'youre', 'done', 'so', 'we', 'can', 'be', 'as', 'one', 'if', 'you', 'think', 'i', 'couldnt', 'hold', 'my', 'own', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'if', 'you', 'need', 'someone', 'to', 'tell', 'you', 'that', 'youre', 'special', 'i', 'can', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'if', 'you', 'need', 'someone', 'to', 'carry', 'on', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'believe', 'me', 'i', 'can', 'if', 'you', 'think', 'no', 'one', 'is', 'feeling', 'what', 'youre', 'feeling', 'i', 'am', 'believe', 'me', 'i', 'am', 'believe', 'me', 'i', 'am', 'and', 'the', 'groove', 'is', 'low', 'and', 'she', 'said', 'seems', 'youre', 'coming', 'on', 'breathe', 'a', 'little', 'deeper', 'should', 'you', 'need', 'to', 'come', 'undone', 'and', 'let', 'those', 'colours', 'run', 'now', 'youre', 'having', 'fun', 'so', 'do', 'this', 'and', 'get', 'through', 'this', 'and', 'the', 'groove', 'is', 'low', 'and', 'come', 'find', 'me', 'when', 'youre', 'done', 'so', 'we', 'can', 'be', 'as', 'one', 'seems', 'youre', 'coming', 'on', 'breathe', 'a', 'little', 'deeper', 'should', 'you', 'need', 'to', 'come', 'undone', 'telamona', 'and', 'let', 'those', 'colours', 'run', 'now', 'youre', 'having', 'fun', 'telamona', 'do', 'this', 'and', 'get', 'through', 'this', 'and', 'until', 'we', 'see', 'the', 'sun', 'and', 'the', 'groove', 'is', 'low', 'youre', 'my', 'number', 'one']"
5,edited_Jeremy’s_Storm,,[]
6,edited_’Cause_I’m_A_Man_(HAIM_Remix),"like the brutal autumn sun
it dawns on me what have i done
saying sorry aint as good as saying why
but it buys me a little more time
lost in the moment for the second time
each fucking doubt i make unleash a cry
im just pathetic thats the reason why
in desperation all that you can do is ask me why

cause im a man woman
dont always think before i do
cause im a man woman
the only answer ive got for you
cause im a man woman
not often proud of what i choose
im a human woman
a greater force that i answer to

once again as it takes a hold
i am aware im not in control
i have a conscience that is nеver fooled
but its prone to bе overruled
you wanna know why i always think im right
you never accept defeat and let it slide
i have no voice if i dont speak my mind
my weakness is the source of all my pride
and ill tell you why
cause im a man woman
dont always think before i do
cause im a man woman
the only answer ive got for you
cause im a man woman
not often proud of what i choose
im a human woman
a greater force that i answer to","['like', 'the', 'brutal', 'autumn', 'sun', 'it', 'dawns', 'on', 'me', 'what', 'have', 'i', 'done', 'saying', 'sorry', 'aint', 'as', 'good', 'as', 'saying', 'why', 'but', 'it', 'buys', 'me', 'a', 'little', 'more', 'time', 'lost', 'in', 'the', 'moment', 'for', 'the', 'second', 'time', 'each', 'fucking', 'doubt', 'i', 'make', 'unleash', 'a', 'cry', 'im', 'just', 'pathetic', 'thats', 'the', 'reason', 'why', 'in', 'desperation', 'all', 'that', 'you', 'can', 'do', 'is', 'ask', 'me', 'why', 'cause', 'im', 'a', 'man', 'woman', 'dont', 'always', 'think', 'before', 'i', 'do', 'cause', 'im', 'a', 'man', 'woman', 'the', 'only', 'answer', 'ive', 'got', 'for', 'you', 'cause', 'im', 'a', 'man', 'woman', 'not', 'often', 'proud', 'of', 'what', 'i', 'choose', 'im', 'a', 'human', 'woman', 'a', 'greater', 'force', 'that', 'i', 'answer', 'to', 'once', 'again', 'as', 'it', 'takes', 'a', 'hold', 'i', 'am', 'aware', 'im', 'not', 'in', 'control', 'i', 'have', 'a', 'conscience', 'that', 'is', 'nеver', 'fooled', 'but', 'its', 'prone', 'to', 'bе', 'overruled', 'you', 'wanna', 'know', 'why', 'i', 'always', 'think', 'im', 'right', 'you', 'never', 'accept', 'defeat', 'and', 'let', 'it', 'slide', 'i', 'have', 'no', 'voice', 'if', 'i', 'dont', 'speak', 'my', 'mind', 'my', 'weakness', 'is', 'the', 'source', 'of', 'all', 'my', 'pride', 'and', 'ill', 'tell', 'you', 'why', 'cause', 'im', 'a', 'man', 'woman', 'dont', 'always', 'think', 'before', 'i', 'do', 'cause', 'im', 'a', 'man', 'woman', 'the', 'only', 'answer', 'ive', 'got', 'for', 'you', 'cause', 'im', 'a', 'man', 'woman', 'not', 'often', 'proud', 'of', 'what', 'i', 'choose', 'im', 'a', 'human', 'woman', 'a', 'greater', 'force', 'that', 'i', 'answer', 'to']"
7,edited_Endors_Toi,"soothing repeat
i look down at my feet
its a hypnotists arm
and it works like a charm
but i wont be deprived
real world surreal life
oh i doubt there is time
go to sleep youll be fine
in the morning youll find
real life was such a grind
off i go day is done
where a new ones just begun","['soothing', 'repeat', 'i', 'look', 'down', 'at', 'my', 'feet', 'its', 'a', 'hypnotists', 'arm', 'and', 'it', 'works', 'like', 'a', 'charm', 'but', 'i', 'wont', 'be', 'deprived', 'real', 'world', 'surreal', 'life', 'oh', 'i', 'doubt', 'there', 'is', 'time', 'go', 'to', 'sleep', 'youll', 'be', 'fine', 'in', 'the', 'morning', 'youll', 'find', 'real', 'life', 'was', 'such', 'a', 'grind', 'off', 'i', 'go', 'day', 'is', 'done', 'where', 'a', 'new', 'ones', 'just', 'begun']"
8,edited_Sestri_Levante_-_Live,,[]
9,edited_Wander,"save your fragile mamas heart
and while she will come for you
but i wander

and i wonder just how far will you need to be
for shaking talk so easily
for hours on end i wander
still i dont even know her

feel just like i need to be
back where i was before
i couldnt go back
but i wander

and i wonder just how far will you need to be
for shaking talk so easily
for hours on end i wander
still i dont even know


how it keeps a lid on me
how it keeps a lid on me how
how it keeps a lid on me
how it keeps a lid on me how

and i wonder
just how far will you need to be
for shaking tough so easily
for hours on end i wander
ooh","['save', 'your', 'fragile', 'mamas', 'heart', 'and', 'while', 'she', 'will', 'come', 'for', 'you', 'but', 'i', 'wander', 'and', 'i', 'wonder', 'just', 'how', 'far', 'will', 'you', 'need', 'to', 'be', 'for', 'shaking', 'talk', 'so', 'easily', 'for', 'hours', 'on', 'end', 'i', 'wander', 'still', 'i', 'dont', 'even', 'know', 'her', 'feel', 'just', 'like', 'i', 'need', 'to', 'be', 'back', 'where', 'i', 'was', 'before', 'i', 'couldnt', 'go', 'back', 'but', 'i', 'wander', 'and', 'i', 'wonder', 'just', 'how', 'far', 'will', 'you', 'need', 'to', 'be', 'for', 'shaking', 'talk', 'so', 'easily', 'for', 'hours', 'on', 'end', 'i', 'wander', 'still', 'i', 'dont', 'even', 'know', 'how', 'it', 'keeps', 'a', 'lid', 'on', 'me', 'how', 'it', 'keeps', 'a', 'lid', 'on', 'me', 'how', 'how', 'it', 'keeps', 'a', 'lid', 'on', 'me', 'how', 'it', 'keeps', 'a', 'lid', 'on', 'me', 'how', 'and', 'i', 'wonder', 'just', 'how', 'far', 'will', 'you', 'need', 'to', 'be', 'for', 'shaking', 'tough', 'so', 'easily', 'for', 'hours', 'on', 'end', 'i', 'wander', 'ooh']"
