,Song_Name,Song_String,Lyrics_List
0,edited_Phantom,"its harder to attract you
used to dye your denim
in my parents bathroom
i can feel your phantom
all of me is dark blue
picture you just dancing
dancing in your old room
damn its such a bad view

cause its hard to attract you
got me so dark blue
cause its hard to attract you
got me so dark blue
cause its hard to attract you
got me so dark blue","['its', 'harder', 'to', 'attract', 'you', 'used', 'to', 'dye', 'your', 'denim', 'in', 'my', 'parents', 'bathroom', 'i', 'can', 'feel', 'your', 'phantom', 'all', 'of', 'me', 'is', 'dark', 'blue', 'picture', 'you', 'just', 'dancing', 'dancing', 'in', 'your', 'old', 'room', 'damn', 'its', 'such', 'a', 'bad', 'view', 'cause', 'its', 'hard', 'to', 'attract', 'you', 'got', 'me', 'so', 'dark', 'blue', 'cause', 'its', 'hard', 'to', 'attract', 'you', 'got', 'me', 'so', 'dark', 'blue', 'cause', 'its', 'hard', 'to', 'attract', 'you', 'got', 'me', 'so', 'dark', 'blue']"
1,edited_680_South," south

my thoughts are my doctors excuse for medicine
but i find it healthy to get lost inside my head
come back with all that i can i find
write it down on light blue lines
its far more usual than reading the contra costa times
 up yv road encina on my left
all you tried and failed to do was justify your theft
and i guess that your bereft of other things to occupy yourself
but keep my goddamn name out of your mouth
your just a shade of gray

and all i want is forward progress
maybe next year ill miss your face but right now it is still worthless
wasted time mostly mine
its not my fucking fault so
get lost and find your way home
get lost and find your way home
get lost and find your way home

leave my mind alone
so i can rate and number my thoughts 
on a list that weighs and measures my priorities
it goes  friends  bands  that green twotone van
and im losing my money its not about money
and all i want is forward progress
maybe next year ill miss your face but right now it is still worthless
wasted time mostly mine
its not my fucking fault so
get lost and find your way home
get lost and find your way home
get lost and find your way home

and all i got was a blank stare
right between the eyes like i wasnt there
and all i got was a blank stare
right between the eyes like i wasnt there","['south', 'my', 'thoughts', 'are', 'my', 'doctors', 'excuse', 'for', 'medicine', 'but', 'i', 'find', 'it', 'healthy', 'to', 'get', 'lost', 'inside', 'my', 'head', 'come', 'back', 'with', 'all', 'that', 'i', 'can', 'i', 'find', 'write', 'it', 'down', 'on', 'light', 'blue', 'lines', 'its', 'far', 'more', 'usual', 'than', 'reading', 'the', 'contra', 'costa', 'times', 'up', 'yv', 'road', 'encina', 'on', 'my', 'left', 'all', 'you', 'tried', 'and', 'failed', 'to', 'do', 'was', 'justify', 'your', 'theft', 'and', 'i', 'guess', 'that', 'your', 'bereft', 'of', 'other', 'things', 'to', 'occupy', 'yourself', 'but', 'keep', 'my', 'goddamn', 'name', 'out', 'of', 'your', 'mouth', 'your', 'just', 'a', 'shade', 'of', 'gray', 'and', 'all', 'i', 'want', 'is', 'forward', 'progress', 'maybe', 'next', 'year', 'ill', 'miss', 'your', 'face', 'but', 'right', 'now', 'it', 'is', 'still', 'worthless', 'wasted', 'time', 'mostly', 'mine', 'its', 'not', 'my', 'fucking', 'fault', 'so', 'get', 'lost', 'and', 'find', 'your', 'way', 'home', 'get', 'lost', 'and', 'find', 'your', 'way', 'home', 'get', 'lost', 'and', 'find', 'your', 'way', 'home', 'leave', 'my', 'mind', 'alone', 'so', 'i', 'can', 'rate', 'and', 'number', 'my', 'thoughts', 'on', 'a', 'list', 'that', 'weighs', 'and', 'measures', 'my', 'priorities', 'it', 'goes', '', 'friends', '', 'bands', '', 'that', 'green', 'twotone', 'van', 'and', 'im', 'losing', 'my', 'money', 'its', 'not', 'about', 'money', 'and', 'all', 'i', 'want', 'is', 'forward', 'progress', 'maybe', 'next', 'year', 'ill', 'miss', 'your', 'face', 'but', 'right', 'now', 'it', 'is', 'still', 'worthless', 'wasted', 'time', 'mostly', 'mine', 'its', 'not', 'my', 'fucking', 'fault', 'so', 'get', 'lost', 'and', 'find', 'your', 'way', 'home', 'get', 'lost', 'and', 'find', 'your', 'way', 'home', 'get', 'lost', 'and', 'find', 'your', 'way', 'home', 'and', 'all', 'i', 'got', 'was', 'a', 'blank', 'stare', 'right', 'between', 'the', 'eyes', 'like', 'i', 'wasnt', 'there', 'and', 'all', 'i', 'got', 'was', 'a', 'blank', 'stare', 'right', 'between', 'the', 'eyes', 'like', 'i', 'wasnt', 'there']"
2,edited_Small_Talk,"of all the roads i took the wounded way
of all the words that you chose to say
there was only three that held any weight
the rest was all just small talk

lust i hate it
i guess its what you make it
now its said with past tense
for the sake of moving past this
breaking in to me
tell it how you think its going to be
ill bite back with broken teeth
so helpless
i cant help this

i sense
your purpose
so tense inside yet not on the surface
and if this is worth it
then why is there still small talk

cause youre breaking in to me
tell it how you think its going to be
ill bite back with broken teeth
so helpless
so where is my patience
i cannot erase this
it lives inside me and it will die with me
this gap between us grows on
the last thing i want to do is move on
this gap between us grows on
the last thing i want to do is move on","['of', 'all', 'the', 'roads', 'i', 'took', 'the', 'wounded', 'way', 'of', 'all', 'the', 'words', 'that', 'you', 'chose', 'to', 'say', 'there', 'was', 'only', 'three', 'that', 'held', 'any', 'weight', 'the', 'rest', 'was', 'all', 'just', 'small', 'talk', 'lust', 'i', 'hate', 'it', 'i', 'guess', 'its', 'what', 'you', 'make', 'it', 'now', 'its', 'said', 'with', 'past', 'tense', 'for', 'the', 'sake', 'of', 'moving', 'past', 'this', 'breaking', 'in', 'to', 'me', 'tell', 'it', 'how', 'you', 'think', 'its', 'going', 'to', 'be', 'ill', 'bite', 'back', 'with', 'broken', 'teeth', 'so', 'helpless', 'i', 'cant', 'help', 'this', 'i', 'sense', 'your', 'purpose', 'so', 'tense', 'inside', 'yet', 'not', 'on', 'the', 'surface', 'and', 'if', 'this', 'is', 'worth', 'it', 'then', 'why', 'is', 'there', 'still', 'small', 'talk', 'cause', 'youre', 'breaking', 'in', 'to', 'me', 'tell', 'it', 'how', 'you', 'think', 'its', 'going', 'to', 'be', 'ill', 'bite', 'back', 'with', 'broken', 'teeth', 'so', 'helpless', 'so', 'where', 'is', 'my', 'patience', 'i', 'cannot', 'erase', 'this', 'it', 'lives', 'inside', 'me', 'and', 'it', 'will', 'die', 'with', 'me', 'this', 'gap', 'between', 'us', 'grows', 'on', 'the', 'last', 'thing', 'i', 'want', 'to', 'do', 'is', 'move', 'on', 'this', 'gap', 'between', 'us', 'grows', 'on', 'the', 'last', 'thing', 'i', 'want', 'to', 'do', 'is', 'move', 'on']"
3,edited_Let_It_Go,"anytime you come around i feel alone
i dont need your help can you tell from my tone
try to keep it casual nothing there to break the fall

all this time i spend with you is not enough
know youre sad inside so why you act so tough
fed up with my usual quit it cold and feel the lull

let it go theres no lust now
im way ahead of you
can you hear me now
im on your radio
can you pull me apart just the way you do

anytime i see your face its just my own
ill be fine just look how much that ive grown
how did you stay there i didnt play fair
you and i might be the only thing i know
set aside a place for both of us to go
i feel your hand inside of mine
no i dont never mind
let it go theres no lust now
im way ahead of you
can you hear me now
im on your radio
can you pull me apart just the way you do

let it go theres no lust now
im way ahead of you
can you hear me now
im on your radio
can you pull me apart
i wont let it bring me down again","['anytime', 'you', 'come', 'around', 'i', 'feel', 'alone', 'i', 'dont', 'need', 'your', 'help', 'can', 'you', 'tell', 'from', 'my', 'tone', 'try', 'to', 'keep', 'it', 'casual', 'nothing', 'there', 'to', 'break', 'the', 'fall', 'all', 'this', 'time', 'i', 'spend', 'with', 'you', 'is', 'not', 'enough', 'know', 'youre', 'sad', 'inside', 'so', 'why', 'you', 'act', 'so', 'tough', 'fed', 'up', 'with', 'my', 'usual', 'quit', 'it', 'cold', 'and', 'feel', 'the', 'lull', 'let', 'it', 'go', 'theres', 'no', 'lust', 'now', 'im', 'way', 'ahead', 'of', 'you', 'can', 'you', 'hear', 'me', 'now', 'im', 'on', 'your', 'radio', 'can', 'you', 'pull', 'me', 'apart', 'just', 'the', 'way', 'you', 'do', 'anytime', 'i', 'see', 'your', 'face', 'its', 'just', 'my', 'own', 'ill', 'be', 'fine', 'just', 'look', 'how', 'much', 'that', 'ive', 'grown', 'how', 'did', 'you', 'stay', 'there', 'i', 'didnt', 'play', 'fair', 'you', 'and', 'i', 'might', 'be', 'the', 'only', 'thing', 'i', 'know', 'set', 'aside', 'a', 'place', 'for', 'both', 'of', 'us', 'to', 'go', 'i', 'feel', 'your', 'hand', 'inside', 'of', 'mine', 'no', 'i', 'dont', 'never', 'mind', 'let', 'it', 'go', 'theres', 'no', 'lust', 'now', 'im', 'way', 'ahead', 'of', 'you', 'can', 'you', 'hear', 'me', 'now', 'im', 'on', 'your', 'radio', 'can', 'you', 'pull', 'me', 'apart', 'just', 'the', 'way', 'you', 'do', 'let', 'it', 'go', 'theres', 'no', 'lust', 'now', 'im', 'way', 'ahead', 'of', 'you', 'can', 'you', 'hear', 'me', 'now', 'im', 'on', 'your', 'radio', 'can', 'you', 'pull', 'me', 'apart', 'i', 'wont', 'let', 'it', 'bring', 'me', 'down', 'again']"
4,edited_Things_I_Can’t_Change,"this twitch in my fingers
lovehate it lingers
sent it direct but the point must have missed her
gave up and lost cause of timing and pressure
and now im gone

lie alone its all you can do now
and hear me drone about the things i cant change
lie alone its all you can do now
and hear me hear me drone on my own

what has this come to
i know you dont see me as much you ought to
and both wounds are bleeding out
grace me with nothing but patience
ill admit that i hate this if theres no other way out
theres no other way out

lie alone its all you can do now
and hear me drone about the things i cant change
lie alone its all you can do now
and hear me hear me drone on my own
on the outs with everything
the calm and talk you seldom bring
on the outs with everything
the calm and talk you seldom bring
on the outs with everything
the calm and talk you seldom bring

lie alone its all you can do now
and hear me drone about the things i cant change
lie alone its all you can do now
and hear me hear me drone on my own","['this', 'twitch', 'in', 'my', 'fingers', 'lovehate', 'it', 'lingers', 'sent', 'it', 'direct', 'but', 'the', 'point', 'must', 'have', 'missed', 'her', 'gave', 'up', 'and', 'lost', 'cause', 'of', 'timing', 'and', 'pressure', 'and', 'now', 'im', 'gone', 'lie', 'alone', 'its', 'all', 'you', 'can', 'do', 'now', 'and', 'hear', 'me', 'drone', 'about', 'the', 'things', 'i', 'cant', 'change', 'lie', 'alone', 'its', 'all', 'you', 'can', 'do', 'now', 'and', 'hear', 'me', 'hear', 'me', 'drone', 'on', 'my', 'own', 'what', 'has', 'this', 'come', 'to', 'i', 'know', 'you', 'dont', 'see', 'me', 'as', 'much', 'you', 'ought', 'to', 'and', 'both', 'wounds', 'are', 'bleeding', 'out', 'grace', 'me', 'with', 'nothing', 'but', 'patience', 'ill', 'admit', 'that', 'i', 'hate', 'this', 'if', 'theres', 'no', 'other', 'way', 'out', 'theres', 'no', 'other', 'way', 'out', 'lie', 'alone', 'its', 'all', 'you', 'can', 'do', 'now', 'and', 'hear', 'me', 'drone', 'about', 'the', 'things', 'i', 'cant', 'change', 'lie', 'alone', 'its', 'all', 'you', 'can', 'do', 'now', 'and', 'hear', 'me', 'hear', 'me', 'drone', 'on', 'my', 'own', 'on', 'the', 'outs', 'with', 'everything', 'the', 'calm', 'and', 'talk', 'you', 'seldom', 'bring', 'on', 'the', 'outs', 'with', 'everything', 'the', 'calm', 'and', 'talk', 'you', 'seldom', 'bring', 'on', 'the', 'outs', 'with', 'everything', 'the', 'calm', 'and', 'talk', 'you', 'seldom', 'bring', 'lie', 'alone', 'its', 'all', 'you', 'can', 'do', 'now', 'and', 'hear', 'me', 'drone', 'about', 'the', 'things', 'i', 'cant', 'change', 'lie', 'alone', 'its', 'all', 'you', 'can', 'do', 'now', 'and', 'hear', 'me', 'hear', 'me', 'drone', 'on', 'my', 'own']"
5,edited_Nineteen_To_Ten,"no telephone is ringing here reservation draws the line
read the fine print when it is screamed out
education isnt what it used to be
youll find it in a well worn fold out
you once reserved for friends and family
this all you took from me
so lets see

more excuses lead to outbursts
throwing phrases in the air to see what sticks
betrayal with a smile
welcome to another painful time of year
another lie that they dont hear
heres hoping you counted back nineteen to ten

you try to hide behind a mask thats justified
morally its all too vague
to try to go through it again

the pressure builds it goes on and on
so you break you break
youre written off today
try and force monotony

you cut yourself wide open from counting back nineteen to ten
you counted back nineteen to ten
your solace always hides behind the bedroom door
you want it to stay
forever and ever you want it all
forever and ever you lost it all
your solace always hides behind the bedroom door
counting back nineteen to ten
nineteen to ten","['no', 'telephone', 'is', 'ringing', 'here', 'reservation', 'draws', 'the', 'line', 'read', 'the', 'fine', 'print', 'when', 'it', 'is', 'screamed', 'out', 'education', 'isnt', 'what', 'it', 'used', 'to', 'be', 'youll', 'find', 'it', 'in', 'a', 'well', 'worn', 'fold', 'out', 'you', 'once', 'reserved', 'for', 'friends', 'and', 'family', 'this', 'all', 'you', 'took', 'from', 'me', 'so', 'lets', 'see', 'more', 'excuses', 'lead', 'to', 'outbursts', 'throwing', 'phrases', 'in', 'the', 'air', 'to', 'see', 'what', 'sticks', 'betrayal', 'with', 'a', 'smile', 'welcome', 'to', 'another', 'painful', 'time', 'of', 'year', 'another', 'lie', 'that', 'they', 'dont', 'hear', 'heres', 'hoping', 'you', 'counted', 'back', 'nineteen', 'to', 'ten', 'you', 'try', 'to', 'hide', 'behind', 'a', 'mask', 'thats', 'justified', 'morally', 'its', 'all', 'too', 'vague', 'to', 'try', 'to', 'go', 'through', 'it', 'again', 'the', 'pressure', 'builds', 'it', 'goes', 'on', 'and', 'on', 'so', 'you', 'break', 'you', 'break', 'youre', 'written', 'off', 'today', 'try', 'and', 'force', 'monotony', 'you', 'cut', 'yourself', 'wide', 'open', 'from', 'counting', 'back', 'nineteen', 'to', 'ten', 'you', 'counted', 'back', 'nineteen', 'to', 'ten', 'your', 'solace', 'always', 'hides', 'behind', 'the', 'bedroom', 'door', 'you', 'want', 'it', 'to', 'stay', 'forever', 'and', 'ever', 'you', 'want', 'it', 'all', 'forever', 'and', 'ever', 'you', 'lost', 'it', 'all', 'your', 'solace', 'always', 'hides', 'behind', 'the', 'bedroom', 'door', 'counting', 'back', 'nineteen', 'to', 'ten', 'nineteen', 'to', 'ten']"
6,edited_Quicksand,"if i hold on much longer i might break my hands
i must respect the space you have but you tread in my lands
and all things aside i know we both know where we stand
im stuck here and youre there and thats it
let it go

this quicksand it pulls me under
it pulls me underneath her
and im learning how to live with my unintended consequences
while youre busy jumping fences
afraid to stay in one spot for too long

biting the bait pulling me down
telling myself to rebuild and rebound
yet always hoping to see you around
cause thats my idea of safe and sound
but id rather gamble lose all and face death
than fucking rot here exhausted from this waste of breath
i always waste my breath

this quicksand it pulls me under
it pulls me underneath her
and im learning how to live with my unintended consequences
while youre busy jumping fences
afraid to stay in one spot for too long
im trying hard real hard
everyday not to lose my temper
im trying hard real hard
everyday not to lose my temper
im trying hard real hard
everyday not to lose my temper
im trying hard real hard
everyday not to lose my
temper","['if', 'i', 'hold', 'on', 'much', 'longer', 'i', 'might', 'break', 'my', 'hands', 'i', 'must', 'respect', 'the', 'space', 'you', 'have', 'but', 'you', 'tread', 'in', 'my', 'lands', 'and', 'all', 'things', 'aside', 'i', 'know', 'we', 'both', 'know', 'where', 'we', 'stand', 'im', 'stuck', 'here', 'and', 'youre', 'there', 'and', 'thats', 'it', 'let', 'it', 'go', 'this', 'quicksand', 'it', 'pulls', 'me', 'under', 'it', 'pulls', 'me', 'underneath', 'her', 'and', 'im', 'learning', 'how', 'to', 'live', 'with', 'my', 'unintended', 'consequences', 'while', 'youre', 'busy', 'jumping', 'fences', 'afraid', 'to', 'stay', 'in', 'one', 'spot', 'for', 'too', 'long', 'biting', 'the', 'bait', 'pulling', 'me', 'down', 'telling', 'myself', 'to', 'rebuild', 'and', 'rebound', 'yet', 'always', 'hoping', 'to', 'see', 'you', 'around', 'cause', 'thats', 'my', 'idea', 'of', 'safe', 'and', 'sound', 'but', 'id', 'rather', 'gamble', 'lose', 'all', 'and', 'face', 'death', 'than', 'fucking', 'rot', 'here', 'exhausted', 'from', 'this', 'waste', 'of', 'breath', 'i', 'always', 'waste', 'my', 'breath', 'this', 'quicksand', 'it', 'pulls', 'me', 'under', 'it', 'pulls', 'me', 'underneath', 'her', 'and', 'im', 'learning', 'how', 'to', 'live', 'with', 'my', 'unintended', 'consequences', 'while', 'youre', 'busy', 'jumping', 'fences', 'afraid', 'to', 'stay', 'in', 'one', 'spot', 'for', 'too', 'long', 'im', 'trying', 'hard', 'real', 'hard', 'everyday', 'not', 'to', 'lose', 'my', 'temper', 'im', 'trying', 'hard', 'real', 'hard', 'everyday', 'not', 'to', 'lose', 'my', 'temper', 'im', 'trying', 'hard', 'real', 'hard', 'everyday', 'not', 'to', 'lose', 'my', 'temper', 'im', 'trying', 'hard', 'real', 'hard', 'everyday', 'not', 'to', 'lose', 'my', 'temper']"
7,edited_Face_Value,"i let the furnace of my anger
heat where you lay
it never burned you it just kept the cold at bay
write it over and over again
the same chords the same end
how many times did i offend

is it so hard to think like we used to
its nothing i cant prove
to my stubborn self

you play roles in my fate
struggle and fight to relate
theres nothing here to sedate
so i wait
and write it over and over again
the same chords the same end

is it so hard to think like we used to
its nothing i cant prove
to my stubborn self
i cant control you
selfish if i do
all of the plans that you made never included me
all of the plans that you made never included me
and all of the plans that you made never included me

is it so hard to think like we used to
its nothing i cant prove
to my stubborn self
i cant control you
selfish if i do
all of the plans that you made never included me","['i', 'let', 'the', 'furnace', 'of', 'my', 'anger', 'heat', 'where', 'you', 'lay', 'it', 'never', 'burned', 'you', 'it', 'just', 'kept', 'the', 'cold', 'at', 'bay', 'write', 'it', 'over', 'and', 'over', 'again', 'the', 'same', 'chords', 'the', 'same', 'end', 'how', 'many', 'times', 'did', 'i', 'offend', 'is', 'it', 'so', 'hard', 'to', 'think', 'like', 'we', 'used', 'to', 'its', 'nothing', 'i', 'cant', 'prove', 'to', 'my', 'stubborn', 'self', 'you', 'play', 'roles', 'in', 'my', 'fate', 'struggle', 'and', 'fight', 'to', 'relate', 'theres', 'nothing', 'here', 'to', 'sedate', 'so', 'i', 'wait', 'and', 'write', 'it', 'over', 'and', 'over', 'again', 'the', 'same', 'chords', 'the', 'same', 'end', 'is', 'it', 'so', 'hard', 'to', 'think', 'like', 'we', 'used', 'to', 'its', 'nothing', 'i', 'cant', 'prove', 'to', 'my', 'stubborn', 'self', 'i', 'cant', 'control', 'you', 'selfish', 'if', 'i', 'do', 'all', 'of', 'the', 'plans', 'that', 'you', 'made', 'never', 'included', 'me', 'all', 'of', 'the', 'plans', 'that', 'you', 'made', 'never', 'included', 'me', 'and', 'all', 'of', 'the', 'plans', 'that', 'you', 'made', 'never', 'included', 'me', 'is', 'it', 'so', 'hard', 'to', 'think', 'like', 'we', 'used', 'to', 'its', 'nothing', 'i', 'cant', 'prove', 'to', 'my', 'stubborn', 'self', 'i', 'cant', 'control', 'you', 'selfish', 'if', 'i', 'do', 'all', 'of', 'the', 'plans', 'that', 'you', 'made', 'never', 'included', 'me']"
8,edited_Closure,"say what you need to say for the last time
state all the premises figuring youll be just fine
so ill get mine you get yours and if were both happy its settled forevermore
holding the impression of a man when i was still a boy
said no regrets but its hard not to feel any remorse
im still debating whether i have even found the source
of all my discomfort and blunt discourse

but i know what i want and dont need what i get
i invest my ideas but get swallowed in debt
and the only release is to yell and to sweat
until my clothes are soaking wet
stay under my skin
tear me limb from limb
plague me to an end
i cant believe i always thought i would be there for you
for now ill learn and settle for less
shut my eyes and get some rest
feel the pulse beneath this sunken chest
and maybe one day i can be there for you
isnt it true that if it hadnt been for me youd still have no place safe to fall
and all this time i thought i knew
when i had no idea at all
all is fair in love and war
you have your gifts some say theyre poor
but i dont care about any of that anymore
let us depart and return when we have grown some more
i wish i could say that ive seen this before
the depth of the bottom the taste of the floor
it leaves me restless and tired and sore
but you wont break my mind just yet
i battle this alone

i dont want to push you
i just want to grieve
i dont want to push you
i just want to leave","['say', 'what', 'you', 'need', 'to', 'say', 'for', 'the', 'last', 'time', 'state', 'all', 'the', 'premises', 'figuring', 'youll', 'be', 'just', 'fine', 'so', 'ill', 'get', 'mine', 'you', 'get', 'yours', 'and', 'if', 'were', 'both', 'happy', 'its', 'settled', 'forevermore', 'holding', 'the', 'impression', 'of', 'a', 'man', 'when', 'i', 'was', 'still', 'a', 'boy', 'said', 'no', 'regrets', 'but', 'its', 'hard', 'not', 'to', 'feel', 'any', 'remorse', 'im', 'still', 'debating', 'whether', 'i', 'have', 'even', 'found', 'the', 'source', 'of', 'all', 'my', 'discomfort', 'and', 'blunt', 'discourse', 'but', 'i', 'know', 'what', 'i', 'want', 'and', 'dont', 'need', 'what', 'i', 'get', 'i', 'invest', 'my', 'ideas', 'but', 'get', 'swallowed', 'in', 'debt', 'and', 'the', 'only', 'release', 'is', 'to', 'yell', 'and', 'to', 'sweat', 'until', 'my', 'clothes', 'are', 'soaking', 'wet', 'stay', 'under', 'my', 'skin', 'tear', 'me', 'limb', 'from', 'limb', 'plague', 'me', 'to', 'an', 'end', 'i', 'cant', 'believe', 'i', 'always', 'thought', 'i', 'would', 'be', 'there', 'for', 'you', 'for', 'now', 'ill', 'learn', 'and', 'settle', 'for', 'less', 'shut', 'my', 'eyes', 'and', 'get', 'some', 'rest', 'feel', 'the', 'pulse', 'beneath', 'this', 'sunken', 'chest', 'and', 'maybe', 'one', 'day', 'i', 'can', 'be', 'there', 'for', 'you', 'isnt', 'it', 'true', 'that', 'if', 'it', 'hadnt', 'been', 'for', 'me', 'youd', 'still', 'have', 'no', 'place', 'safe', 'to', 'fall', 'and', 'all', 'this', 'time', 'i', 'thought', 'i', 'knew', 'when', 'i', 'had', 'no', 'idea', 'at', 'all', 'all', 'is', 'fair', 'in', 'love', 'and', 'war', 'you', 'have', 'your', 'gifts', 'some', 'say', 'theyre', 'poor', 'but', 'i', 'dont', 'care', 'about', 'any', 'of', 'that', 'anymore', 'let', 'us', 'depart', 'and', 'return', 'when', 'we', 'have', 'grown', 'some', 'more', 'i', 'wish', 'i', 'could', 'say', 'that', 'ive', 'seen', 'this', 'before', 'the', 'depth', 'of', 'the', 'bottom', 'the', 'taste', 'of', 'the', 'floor', 'it', 'leaves', 'me', 'restless', 'and', 'tired', 'and', 'sore', 'but', 'you', 'wont', 'break', 'my', 'mind', 'just', 'yet', 'i', 'battle', 'this', 'alone', 'i', 'dont', 'want', 'to', 'push', 'you', 'i', 'just', 'want', 'to', 'grieve', 'i', 'dont', 'want', 'to', 'push', 'you', 'i', 'just', 'want', 'to', 'leave']"
9,edited_Mt_Diablo,"everything about you is somebody else
youre a product of environment and middle class wealth
and sleeping that much wont improve your health
your interest in me is like dust on the shelf

easy to brush off despite your mood
call me a liar ill show you a fake
my old man told me to think on my own
and im sure thats your biggest mistake

watch the sunrise over mt diablo
if you even bother getting dressed today
youll avert your eyes neglect the skies
i hate it when you act that way
i miss the old you the one i used to talk to
the one who kept her judgements at bay

will i ever see you again will i ever see you
and if you cut out scheduled time youll find piece of mind
trust me its worth your weight in gold
and if you think youre fine go ahead follow that line
at least none of my friends do what theyre told
by what theyre sold
do you look yourself straight in the eyes
and think about who you let between your thighs
cut the shit be real with me
youre the only one i ever fucking judge
the one who came to school every day
woke up for the world practiced honesty
her business was hers

will i ever see you again will i ever see you
and if you cut out scheduled time youll find piece of mind
trust me its worth your weight in gold
and if you think youre fine go ahead follow that line
at least none of my friends do what theyre told
by what theyre sold


and if you cut out scheduled time youll find piece of mind
trust me its worth your weight in gold
and if you think youre fine go ahead follow that line
at least none of my friends do what theyre told
by what theyre sold
will i ever see you again will i ever see you
and if you cut out scheduled time youll find piece of mind
trust me its worth your weight in gold
and if you think youre fine go ahead follow that line
at least none of my friends do what theyre told
by what theyre sold","['everything', 'about', 'you', 'is', 'somebody', 'else', 'youre', 'a', 'product', 'of', 'environment', 'and', 'middle', 'class', 'wealth', 'and', 'sleeping', 'that', 'much', 'wont', 'improve', 'your', 'health', 'your', 'interest', 'in', 'me', 'is', 'like', 'dust', 'on', 'the', 'shelf', 'easy', 'to', 'brush', 'off', 'despite', 'your', 'mood', 'call', 'me', 'a', 'liar', 'ill', 'show', 'you', 'a', 'fake', 'my', 'old', 'man', 'told', 'me', 'to', 'think', 'on', 'my', 'own', 'and', 'im', 'sure', 'thats', 'your', 'biggest', 'mistake', 'watch', 'the', 'sunrise', 'over', 'mt', 'diablo', 'if', 'you', 'even', 'bother', 'getting', 'dressed', 'today', 'youll', 'avert', 'your', 'eyes', 'neglect', 'the', 'skies', 'i', 'hate', 'it', 'when', 'you', 'act', 'that', 'way', 'i', 'miss', 'the', 'old', 'you', 'the', 'one', 'i', 'used', 'to', 'talk', 'to', 'the', 'one', 'who', 'kept', 'her', 'judgements', 'at', 'bay', 'will', 'i', 'ever', 'see', 'you', 'again', 'will', 'i', 'ever', 'see', 'you', 'and', 'if', 'you', 'cut', 'out', 'scheduled', 'time', 'youll', 'find', 'piece', 'of', 'mind', 'trust', 'me', 'its', 'worth', 'your', 'weight', 'in', 'gold', 'and', 'if', 'you', 'think', 'youre', 'fine', 'go', 'ahead', 'follow', 'that', 'line', 'at', 'least', 'none', 'of', 'my', 'friends', 'do', 'what', 'theyre', 'told', 'by', 'what', 'theyre', 'sold', 'do', 'you', 'look', 'yourself', 'straight', 'in', 'the', 'eyes', 'and', 'think', 'about', 'who', 'you', 'let', 'between', 'your', 'thighs', 'cut', 'the', 'shit', 'be', 'real', 'with', 'me', 'youre', 'the', 'only', 'one', 'i', 'ever', 'fucking', 'judge', 'the', 'one', 'who', 'came', 'to', 'school', 'every', 'day', 'woke', 'up', 'for', 'the', 'world', 'practiced', 'honesty', 'her', 'business', 'was', 'hers', 'will', 'i', 'ever', 'see', 'you', 'again', 'will', 'i', 'ever', 'see', 'you', 'and', 'if', 'you', 'cut', 'out', 'scheduled', 'time', 'youll', 'find', 'piece', 'of', 'mind', 'trust', 'me', 'its', 'worth', 'your', 'weight', 'in', 'gold', 'and', 'if', 'you', 'think', 'youre', 'fine', 'go', 'ahead', 'follow', 'that', 'line', 'at', 'least', 'none', 'of', 'my', 'friends', 'do', 'what', 'theyre', 'told', 'by', 'what', 'theyre', 'sold', 'and', 'if', 'you', 'cut', 'out', 'scheduled', 'time', 'youll', 'find', 'piece', 'of', 'mind', 'trust', 'me', 'its', 'worth', 'your', 'weight', 'in', 'gold', 'and', 'if', 'you', 'think', 'youre', 'fine', 'go', 'ahead', 'follow', 'that', 'line', 'at', 'least', 'none', 'of', 'my', 'friends', 'do', 'what', 'theyre', 'told', 'by', 'what', 'theyre', 'sold', 'will', 'i', 'ever', 'see', 'you', 'again', 'will', 'i', 'ever', 'see', 'you', 'and', 'if', 'you', 'cut', 'out', 'scheduled', 'time', 'youll', 'find', 'piece', 'of', 'mind', 'trust', 'me', 'its', 'worth', 'your', 'weight', 'in', 'gold', 'and', 'if', 'you', 'think', 'youre', 'fine', 'go', 'ahead', 'follow', 'that', 'line', 'at', 'least', 'none', 'of', 'my', 'friends', 'do', 'what', 'theyre', 'told', 'by', 'what', 'theyre', 'sold']"
